timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2026-09-04T00:00:00.000Z";"2026-09-04T23:59:59.999Z";"2026-09-04T23:59:59.999Z";"2026-09-04T00:00:00.000Z";"2781";81270.37;81427.75;80573.21;80893.31;305762388.78;1624358858847.22;20080262;"2026-09-04T23:59:59.999Z"
"2026-09-03T00:00:00.000Z";"2026-09-03T23:59:59.999Z";"2026-09-03T23:59:59.999Z";"2026-09-03T00:00:00.000Z";"2781";77340.01;82300.0;76968.0;81270.37;1579639079.85;1631893750770.44;20079812;"2026-09-03T23:59:59.999Z"
"2026-09-02T00:00:00.000Z";"2026-09-02T23:59:59.999Z";"2026-09-02T23:59:59.999Z";"2026-09-02T00:00:00.000Z";"2781";77439.01;77792.0;76264.0;77340.01;1008333112.59;1552938057873.62;20079362;"2026-09-02T23:59:59.999Z"
"2026-09-01T00:00:00.000Z";"2026-09-01T23:59:59.999Z";"2026-09-01T23:59:59.999Z";"2026-09-01T00:00:00.000Z";"2781";78581.3;79220.61;76420.0;77439.0;1101387276.65;1554890866368.0;20078912;"2026-09-01T23:59:59.999Z"
"2026-08-31T00:00:00.000Z";"2026-08-31T23:59:59.999Z";"2026-08-31T23:59:59.999Z";"2026-08-31T00:00:00.000Z";"2781";77682.0;79250.0;77392.0;78581.29;1198158182.24;1577791445175.98;20078462;"2026-08-31T23:59:59.999Z"
"2026-08-30T00:00:00.000Z";"2026-08-30T23:59:59.999Z";"2026-08-30T23:59:59.999Z";"2026-08-30T00:00:00.000Z";"2781";78230.0;79400.0;77000.0;77682.0;712506539.56;1559700128184.0;20078012;"2026-08-30T23:59:59.999Z"
"2026-08-29T00:00:00.000Z";"2026-08-29T23:59:59.999Z";"2026-08-29T23:59:59.999Z";"2026-08-29T00:00:00.000Z";"2781";77845.88;78330.0;77382.37;78230.0;545867984.85;1570667675260.0;20077562;"2026-08-29T23:59:59.999Z"
"2026-08-28T00:00:00.000Z";"2026-08-28T23:59:59.999Z";"2026-08-28T23:59:59.999Z";"2026-08-28T00:00:00.000Z";"2781";80249.59;81478.87;76888.0;77845.87;1560927602.28;1562920250727.44;20077112;"2026-08-28T23:59:59.999Z"
"2026-08-27T00:00:00.000Z";"2026-08-27T23:59:59.999Z";"2026-08-27T23:59:59.999Z";"2026-08-27T00:00:00.000Z";"2781";79023.75;80848.74;78546.13;80249.58;1297370375.47;1611143693301.96;20076662;"2026-08-27T23:59:59.999Z"
"2026-08-26T00:00:00.000Z";"2026-08-26T23:59:59.999Z";"2026-08-26T23:59:59.999Z";"2026-08-26T00:00:00.000Z";"2781";78539.13;79251.6;77632.58;79023.75;1148236055.88;1586497558035.0;20076212;"2026-08-26T23:59:59.999Z"
"2026-08-25T00:00:00.000Z";"2026-08-25T23:59:59.999Z";"2026-08-25T23:59:59.999Z";"2026-08-25T00:00:00.000Z";"2781";78992.76;81272.62;77851.0;78539.14;1972170530.27;1576733082324.68;20075762;"2026-08-25T23:59:59.999Z"
"2026-08-24T00:00:00.000Z";"2026-08-24T23:59:59.999Z";"2026-08-24T23:59:59.999Z";"2026-08-24T00:00:00.000Z";"2781";77734.0;80000.0;76670.01;78992.75;2367960844.3;1585804101988.0;20075312;"2026-08-24T23:59:59.999Z"
"2026-08-23T00:00:00.000Z";"2026-08-23T23:59:59.999Z";"2026-08-23T23:59:59.999Z";"2026-08-23T00:00:00.000Z";"2781";77074.94;78052.85;75545.67;77734.0;1182628276.06;1560499322708.0;20074862;"2026-08-23T23:59:59.999Z"
