Datetime,ETF Net Flow (USD mn)
2026-09-03T00:00:00Z,276.8
2026-09-02T00:00:00Z,101.1
2026-09-01T00:00:00Z,-236.5
2026-08-31T00:00:00Z,216.7
2026-08-28T00:00:00Z,0.0
2026-08-27T00:00:00Z,242.3
2026-08-26T00:00:00Z,232.2
2026-08-25T00:00:00Z,29.9
2026-08-24T00:00:00Z,128.7
2026-08-21T00:00:00Z,68.2
2026-08-20T00:00:00Z,103.3
2026-08-19T00:00:00Z,164.2
2026-08-18T00:00:00Z,45.7
2026-08-17T00:00:00Z,137.3
2026-08-14T00:00:00Z,-0.7
2026-08-13T00:00:00Z,-125.4
2026-08-12T00:00:00Z,-46.8
2026-08-11T00:00:00Z,-42.4
2026-08-10T00:00:00Z,-91.0
2026-08-07T00:00:00Z,15.0
2026-08-06T00:00:00Z,137.6
2026-08-05T00:00:00Z,244.4
2026-08-04T00:00:00Z,211.5
2026-08-03T00:00:00Z,170.1
2026-07-31T00:00:00Z,-265.4
2026-07-30T00:00:00Z,49.7
2026-07-29T00:00:00Z,32.1
2026-07-28T00:00:00Z,-49.7
2026-07-27T00:00:00Z,-11.6
2026-07-24T00:00:00Z,-240.1
2026-07-23T00:00:00Z,-225.1
2026-07-22T00:00:00Z,69.1
2026-07-21T00:00:00Z,39.3
2026-07-20T00:00:00Z,226.8
2026-07-17T00:00:00Z,132.3
2026-07-16T00:00:00Z,79.1
2026-07-15T00:00:00Z,107.7
2026-07-14T00:00:00Z,181.1
2026-07-13T00:00:00Z,-424.7
2026-07-10T00:00:00Z,90.4
2026-07-09T00:00:00Z,-95.3
2026-07-08T00:00:00Z,-84.9
2026-07-07T00:00:00Z,21.5
2026-07-06T00:00:00Z,265.7
2026-07-02T00:00:00Z,223.5
2026-07-01T00:00:00Z,-296.0
2026-06-30T00:00:00Z,-222.6
2026-06-29T00:00:00Z,-231.0
2026-06-26T00:00:00Z,-444.5
2026-06-25T00:00:00Z,-691.7
2026-06-24T00:00:00Z,-469.0
2026-06-23T00:00:00Z,-113.8
2026-06-22T00:00:00Z,-68.3
2026-06-18T00:00:00Z,-90.7
2026-06-17T00:00:00Z,-82.2
2026-06-16T00:00:00Z,10.2
2026-06-15T00:00:00Z,-64.8
2026-06-12T00:00:00Z,85.9
2026-06-11T00:00:00Z,-22.5
2026-06-10T00:00:00Z,-213.9
2026-06-09T00:00:00Z,-77.4
2026-06-08T00:00:00Z,-91.4
