date,band,label,supply,cost_basis,profit_percent,supply_percent,supply_usd,realized_cap_usd,realized_cap_percent,utxo_count
2026-09-03,range_10y_inf,>10y,3567292.41060217,119.9429683,79.37078452,17.76598734,289895571860.3986,427871640.5367338,0.04009894,16991903
2026-09-03,range_7y_10y,7-10y,1683741.89357619,6533.20427081,79.37078452,8.3854458,136829074525.23235,11000229730.048796,1.03091102,47851589
2026-09-03,range_5y_7y,5-7y,1490657.56953285,30516.23153681,79.37078452,7.42383872,121138101066.07205,45489251533.95745,4.26312649,29011048
2026-09-03,range_3y_5y,3-5y,1811202.84291788,30829.46147715,79.37078452,9.02023246,147187172641.73666,55838408273.0487,5.23302075,28223008
2026-09-03,range_2y_3y,2-3y,1231935.65019699,55849.39117425,79.37078452,6.13534038,100113096629.71623,68802856029.3585,6.44801284,97626022
2026-09-03,range_1m_3m,1-3m,1268617.94489688,63220.34242014,79.37078452,6.31802716,103094078723.4665,80202460876.711,7.51635218,29414733
2026-09-03,range_1w_1m,1w-1m,884501.37350145,71695.06972059,79.37078452,4.40503284,71878893560.9648,63414387641.14114,5.94302052,11647315
2026-09-03,range_3m_6m,3-6m,1155055.40306252,74045.15383205,79.37078452,5.75245797,93865432955.83934,85526255004.30974,8.0152834,33736416
2026-09-03,range_1d_1w,1d-1w,331695.34174131,78192.40110568,79.37078452,1.6519238,26955180486.95532,25936055206.323563,2.43065516,3493921
2026-09-03,range_0d_1d,<1d,194640.22556747,80089.16572531,79.37078452,0.96935585,15817413602.041645,15588573282.284458,1.46091785,750785
2026-09-03,range_18m_2y,1.5-2y,1173103.24060626,87261.45306021,79.37078452,5.84234061,95332088217.97495,102366693364.94633,9.59352258,47399050
2026-09-03,range_6m_12m,6-12m,3630330.62050287,92744.67091091,79.37078452,18.07993302,295018364108.6333,336693818696.3234,31.55401084,44934019
2026-09-03,range_12m_18m,1-1.5y,1656562.14984612,106094.91857346,79.37078452,8.25008404,134620316048.29053,175752826399.80475,16.47106742,33096307
2026-09-02,range_10y_inf,>10y,3567266.99976492,119.91607655,75.12053876,17.76630319,275052997658.72833,427772662.6211488,0.04011666,16975922
2026-09-02,range_7y_10y,7-10y,1683143.63782461,6529.70640662,75.12053876,8.38267508,129778259688.54704,10990433795.16142,1.03068656,47753750
2026-09-02,range_5y_7y,5-7y,1491071.69738414,30489.94903375,75.12053876,7.42608609,114968613259.56894,45462700058.91443,4.26350722,29100020
2026-09-02,range_3y_5y,3-5y,1811457.81245791,30845.32235255,75.12053876,9.02172692,139671883680.6173,55875000153.3057,5.2399762,28118947
2026-09-02,range_2y_3y,2-3y,1232565.38056356,55811.64970066,75.12053876,6.13862945,95036565179.09077,68791507253.17595,6.45129056,97243517
2026-09-02,range_1m_3m,1-3m,1251380.50302837,63151.32548967,75.12053876,6.23233569,96487299266.4476,79026337458.1682,7.41111636,29347830
2026-09-02,range_1w_1m,1w-1m,876639.43200858,70591.30699161,75.12053876,4.36598717,67593007099.18675,61883123265.868706,5.80342,11599965
2026-09-02,range_3m_6m,3-6m,1136775.18840255,74303.29097964,75.12053876,5.66155902,87650692604.39209,84466137602.30713,7.92126264,33627046
2026-09-02,range_0d_1d,<1d,172434.91337174,77126.62163361,75.12053876,0.85878936,13295539646.190132,13299322320.047054,1.2472149,639218
2026-09-02,range_1d_1w,1d-1w,390046.7405071,78715.09042297,75.12053876,1.94257639,30074430988.92342,30702564448.201126,2.87929676,3599922
2026-09-02,range_18m_2y,1.5-2y,1172888.96469242,87217.61679505,75.12053876,5.84141892,90435233942.60985,102296580265.68489,9.59340751,47845093
2026-09-02,range_6m_12m,6-12m,3646536.49806162,92836.7747039,75.12053876,18.16109448,281165047340.1364,338532687320.08575,31.74770865,44899581
2026-09-02,range_12m_18m,1-1.5y,1646628.89848344,106015.06683896,75.12053876,8.20081823,126962802220.63737,174567472731.68265,16.37099598,33111189
2026-09-01,range_10y_inf,>10y,3566638.99945937,119.81465235,75.65171497,17.76355428,276148799457.5222,427335611.773693,0.04007958,16960458
2026-09-01,range_7y_10y,7-10y,1668351.62207739,6488.26053428,75.65171497,8.30918257,129172954588.2036,10824699986.832489,1.01524276,47684339
2026-09-01,range_5y_7y,5-7y,1506519.44605012,30266.2452561,75.65171497,7.50318155,116643017824.12315,45596687037.23624,4.27648865,29159381
2026-09-01,range_3y_5y,3-5y,1811629.53777997,30864.2671524,75.65171497,9.02277456,140266318513.1876,55914618035.22709,5.24420182,28117550
2026-09-01,range_2y_3y,2-3y,1234011.86936001,55761.66461776,75.65171497,6.14596454,95543983086.52866,68810555993.58347,6.45370488,96643253
2026-09-01,range_1m_3m,1-3m,1216020.56207527,63156.6447258,75.65171497,6.0563593,94150997166.70178,76799778618.25177,7.20300975,29278953
2026-09-01,range_1w_1m,1w-1m,846728.29745807,69083.5507688,75.65171497,4.21710862,65558359801.8192,58494997324.82556,5.4862142,11544854
2026-09-01,range_3m_6m,3-6m,1138929.82412734,74450.92079676,75.65171497,5.67241085,88182208417.16974,84794374129.16713,7.95281855,33485999
2026-09-01,range_0d_1d,<1d,226180.8485568,77818.03409423,75.65171497,1.12648793,17512164757.5523,17600948984.45528,1.6507835,709717
2026-09-01,range_1d_1w,1d-1w,393943.58859836,78876.06241999,75.65171497,1.96202596,30501278391.761845,31072719084.238567,2.91429354,3698130
2026-09-01,range_18m_2y,1.5-2y,1170483.2623706,87172.04769119,75.65171497,5.82956194,90625249075.60309,102033422769.11111,9.56965961,48405558
2026-09-01,range_6m_12m,6-12m,3662831.87626354,92971.45463455,75.65171497,18.24264044,283596580814.10565,340538807618.03033,31.93895082,45047695
2026-09-01,range_12m_18m,1-1.5y,1636138.80737412,105925.57562689,75.65171497,8.14874747,126678861379.21776,173308944976.60443,16.25455234,32901264
2026-08-31,range_10y_inf,>10y,3566175.22985228,119.75312288,77.32188102,17.76163703,280033920010.50635,427060620.5180267,0.04006216,16949164
2026-08-31,range_7y_10y,7-10y,1668251.86770527,6484.46483899,77.32188102,8.30886938,130999482629.93982,10817720578.709175,1.01480027,47589438
2026-08-31,range_5y_7y,5-7y,1506538.6582818,30240.47237583,77.32188102,7.50344307,118300952402.5819,45558440678.89192,4.27379481,29240359
2026-08-31,range_3y_5y,3-5y,1812455.3792763,30877.01088975,77.32188102,9.02708715,142323063783.9115,55963204483.09391,5.24985599,28098197
2026-08-31,range_2y_3y,2-3y,1235249.69120092,55717.21502977,77.32188102,6.15226545,96997985495.25836,68824672660.0995,6.45637832,96201895
2026-08-31,range_1m_3m,1-3m,1203621.21101697,63201.31750496,77.32188102,5.99473713,94514358999.35759,76070446313.19186,7.13609758,29017177
2026-08-31,range_1w_1m,1w-1m,851530.92198291,68120.36503167,77.32188102,4.2411217,66866468057.126976,58006597241.22878,5.44154476,11636633
2026-08-31,range_3m_6m,3-6m,1146496.90206083,74513.63049899,77.32188102,5.71022469,90028672477.00972,85429646528.39513,8.01407542,33516755
2026-08-31,range_0d_1d,<1d,186509.08067218,78538.31217654,77.32188102,0.92892423,14645626087.294027,14648108401.590914,1.37412538,741555
2026-08-31,range_1d_1w,1d-1w,438071.39051404,79011.70943481,77.32188102,2.18185157,34399557179.12983,34612769418.99985,3.2469916,3665800
2026-08-31,range_18m_2y,1.5-2y,1171266.37669998,87147.9215911,77.32188102,5.83359115,91973695543.10547,102073430358.93834,9.57541325,48840849
2026-08-31,range_6m_12m,6-12m,3667273.84879388,93137.00656137,77.32188102,18.26516725,287972689348.83673,341558908517.45636,32.04132247,45147065
2026-08-31,range_12m_18m,1-1.5y,1624524.2334936,105879.63630503,77.32188102,8.0910802,127565770029.79181,172004035011.01727,16.13553801,32670839
2026-08-30,range_10y_inf,>10y,3565863.50024854,119.70421038,77.140553,17.76050461,279288215486.8403,426848874.630482,0.04005722,16938996
2026-08-30,range_7y_10y,7-10y,1668256.97521871,6481.60767958,77.140553,8.30909139,130662464659.63507,10812987222.096867,1.0147343,47490485
2026-08-30,range_5y_7y,5-7y,1506677.64723794,30221.91347971,77.140553,7.50431285,118007128254.25478,45534681496.631584,4.27315804,29326534
2026-08-30,range_3y_5y,3-5y,1813040.00938868,30890.76451143,77.140553,9.03021258,142002269238.0444,56006191979.83303,5.25584679,28079897
2026-08-30,range_2y_3y,2-3y,1234886.98796779,55674.43763547,77.140553,6.15060449,96719737918.57275,68751638598.46431,6.45193087,95682821
2026-08-30,range_1m_3m,1-3m,1169921.49646756,63398.70784077,77.140553,5.82703071,91631462333.1332,74171511151.18732,6.96055355,28760584
2026-08-30,range_1w_1m,1w-1m,858276.42835414,66574.051265,77.140553,4.2748194,67222565320.50069,57138938940.78761,5.36214833,11739884
2026-08-30,range_3m_6m,3-6m,1132927.84672663,74626.30667691,77.140553,5.64277636,88734018160.1385,84546220932.63574,7.93415813,33413962
2026-08-30,range_0d_1d,<1d,97726.9777265,78637.43537967,77.140553,0.48674898,7654245097.226517,7684998895.8176365,0.72119127,961079
2026-08-30,range_1d_1w,1d-1w,572628.90092543,78855.80029025,77.140553,2.8520941,44849867041.88397,45155110251.799736,4.23753754,3425062
2026-08-30,range_18m_2y,1.5-2y,1170501.47922285,87105.29014248,77.140553,5.82991943,91676888174.2308,101956870959.9119,9.5680437,49341719
